"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1979 - Stemmeberettigede";"EV1979 - Afgivne stemmer";"EV1979 - Blanke stemmer";"EV1979 - Andre ugyldige stemmer";"EV1979 - Gyldige stemmer";"EV1979 - A. Socialdemokratiet";"EV1979 - B. Det Radikale Venstre";"EV1979 - C. Det Konservative Folkeparti";"EV1979 - E. Danmarks Retsforbund";"EV1979 - F. Socialistisk Folkeparti";"EV1979 - M. Centrum-Demokraterne";"EV1979 - N. Folkebevægelsen mod EF";"EV1979 - Q. Kristeligt Folkeparti";"EV1979 - V. Venstre, Danmarks Liberale Parti";"EV1979 - Y. Venstresocialisterne";"EV1979 - Z. Fremskridtspartiet"
"153005";"153005";"26";"4";"2";"3417";"1860";"26";"4";"1830";"438";"39";"139";"85";"127";"96";"718";"14";"39";"79";"56"
"153006";"153006";"26";"4";"2";"5067";"2172";"43";"11";"2118";"498";"45";"195";"83";"152";"92";"778";"10";"44";"117";"104"
"153102";"153102";"26";"4";"2";"3260";"1485";"19";"6";"1460";"374";"34";"141";"71";"100";"58";"512";"10";"47";"58";"55"
"153103";"153103";"26";"4";"2";"4401";"2288";"63";"9";"2216";"504";"55";"304";"127";"150";"113";"725";"12";"67";"99";"60"
"153107";"153107";"26";"4";"2";"3269";"1376";"25";"5";"1346";"276";"30";"151";"71";"93";"54";"501";"10";"35";"61";"64"
"155001";"155001";"27";"4";"2";"3433";"1824";"50";"13";"1761";"365";"44";"392";"46";"92";"75";"525";"17";"48";"87";"70"
"155002";"155002";"27";"4";"2";"5593";"3059";"41";"10";"3008";"463";"98";"865";"94";"153";"227";"673";"14";"133";"81";"207"
"157001";"157001";"20";"4";"2";"4300";"2558";"29";"7";"2522";"278";"87";"992";"52";"88";"207";"390";"13";"177";"79";"159"
"157003";"157003";"20";"4";"2";"3776";"2595";"22";"6";"2567";"158";"102";"1169";"32";"71";"250";"241";"22";"236";"82";"204"
"157004";"157004";"20";"4";"2";"6992";"3761";"62";"10";"3689";"600";"129";"980";"140";"176";"286";"835";"30";"167";"148";"198"
"157005";"157005";"20";"4";"2";"6756";"3814";"51";"11";"3752";"506";"123";"1149";"137";"170";"344";"743";"48";"202";"125";"205"
"157006";"157006";"24";"4";"2";"7004";"4403";"46";"8";"4349";"373";"177";"1802";"78";"129";"406";"548";"25";"355";"184";"272"
"157007";"157007";"24";"4";"2";"7030";"4257";"37";"7";"4213";"469";"124";"1497";"112";"158";"364";"673";"61";"291";"232";"232"
"157008";"157008";"24";"4";"2";"7645";"4506";"58";"7";"4441";"482";"132";"1827";"120";"111";"431";"564";"38";"325";"150";"261"
"157009";"157009";"24";"4";"2";"5524";"3396";"43";"8";"3345";"389";"110";"1331";"65";"92";"289";"487";"18";"224";"125";"215"
"157102";"157102";"20";"4";"2";"4559";"2878";"39";"6";"2833";"272";"86";"1073";"69";"107";"276";"395";"34";"201";"144";"176"
"159001";"159001";"25";"4";"2";"5374";"3175";"33";"8";"3134";"494";"122";"562";"127";"176";"475";"711";"21";"148";"149";"149"
"159002";"159002";"25";"4";"2";"3640";"1902";"38";"10";"1854";"398";"52";"201";"78";"124";"227";"529";"32";"45";"88";"80"
"159003";"159003";"25";"4";"2";"5741";"3157";"38";"8";"3111";"583";"77";"304";"148";"190";"346";"1040";"25";"69";"227";"102"
"159004";"159004";"25";"4";"2";"3163";"1660";"37";"10";"1613";"428";"18";"106";"84";"152";"138";"532";"18";"26";"79";"32"
"159005";"159005";"25";"4";"2";"3363";"1866";"31";"9";"1826";"448";"47";"183";"82";"138";"148";"581";"9";"43";"87";"60"
"159006";"159006";"25";"4";"2";"4104";"2269";"36";"7";"2226";"361";"89";"314";"83";"139";"267";"648";"17";"72";"119";"117"
"159007";"159007";"25";"4";"2";"5393";"3051";"64";"14";"2973";"756";"60";"219";"145";"208";"257";"1014";"16";"55";"146";"97"
"159008";"159008";"25";"4";"2";"6487";"3923";"61";"11";"3851";"630";"172";"591";"134";"253";"470";"1012";"23";"144";"255";"167"
"159009";"159009";"25";"4";"2";"3896";"2155";"43";"6";"2106";"380";"51";"284";"88";"135";"275";"619";"16";"59";"114";"85"
"159010";"159010";"25";"4";"2";"4760";"2486";"43";"9";"2434";"520";"83";"316";"110";"150";"286";"677";"20";"88";"96";"88"
"159011";"159011";"25";"4";"2";"2876";"1497";"28";"9";"1460";"262";"50";"197";"62";"96";"144";"451";"14";"52";"69";"63"
"161001";"161001";"23";"4";"2";"2647";"1577";"39";"3";"1535";"349";"45";"283";"60";"79";"82";"439";"18";"75";"46";"59"
"161002";"161002";"23";"4";"2";"2397";"1277";"23";"6";"1248";"303";"38";"265";"46";"46";"77";"288";"5";"66";"36";"78"
"161003";"161003";"23";"4";"2";"4299";"2069";"38";"8";"2023";"553";"38";"236";"104";"115";"87";"648";"19";"83";"68";"72"
"161004";"161004";"23";"4";"2";"4095";"2110";"41";"10";"2059";"588";"44";"169";"120";"152";"71";"720";"11";"47";"79";"58"
"161005";"161005";"23";"4";"2";"1200";"712";"9";"0";"703";"123";"32";"165";"38";"24";"65";"139";"8";"42";"16";"51"
"163001";"163001";"28";"4";"2";"2162";"1123";"23";"2";"1098";"313";"20";"121";"73";"67";"51";"343";"7";"17";"49";"37"
"163002";"163002";"28";"4";"2";"4894";"2617";"54";"3";"2560";"653";"59";"328";"118";"156";"145";"764";"33";"78";"117";"109"
"163003";"163003";"28";"4";"2";"4745";"2328";"42";"5";"2281";"468";"62";"284";"101";"153";"128";"775";"40";"76";"117";"77"
"163004";"163004";"28";"4";"2";"5433";"2961";"53";"6";"2902";"646";"84";"501";"122";"174";"184";"803";"64";"95";"117";"112"
"163005";"163005";"28";"4";"2";"3141";"1559";"34";"10";"1515";"345";"33";"147";"75";"117";"56";"574";"16";"38";"64";"50"
"165001";"165001";"23";"4";"2";"4624";"2525";"35";"2";"2488";"339";"67";"310";"73";"179";"115";"880";"3";"88";"341";"93"
"165002";"165002";"23";"4";"2";"3661";"2134";"31";"5";"2098";"338";"73";"374";"93";"149";"101";"689";"9";"61";"146";"65"
"165003";"165003";"23";"4";"2";"3177";"1430";"19";"11";"1400";"322";"18";"120";"91";"123";"40";"540";"2";"20";"67";"57"
"165004";"165004";"23";"4";"2";"4134";"2061";"27";"11";"2023";"415";"33";"90";"101";"215";"30";"862";"6";"26";"208";"37"
"165005";"165005";"23";"4";"2";"3055";"1603";"27";"5";"1571";"286";"48";"220";"75";"136";"67";"531";"6";"35";"114";"53"
"167001";"167001";"26";"4";"2";"4274";"2279";"56";"9";"2214";"481";"58";"273";"101";"152";"129";"689";"21";"83";"131";"96"
"167002";"167002";"26";"4";"2";"3298";"1662";"36";"9";"1617";"441";"29";"143";"84";"128";"63";"540";"9";"45";"85";"50"
"167003";"167003";"26";"4";"2";"4826";"2550";"57";"13";"2480";"647";"42";"246";"120";"208";"116";"888";"17";"47";"93";"56"
"167004";"167004";"26";"4";"2";"5212";"2777";"51";"12";"2714";"672";"57";"281";"153";"205";"101";"911";"11";"57";"150";"116"
"167005";"167005";"26";"4";"2";"5233";"2629";"43";"5";"2581";"649";"75";"326";"123";"186";"146";"772";"17";"54";"114";"119"
"167006";"167006";"26";"4";"2";"5858";"2789";"35";"10";"2744";"689";"51";"248";"129";"227";"137";"951";"14";"59";"126";"113"
"167007";"167007";"26";"4";"2";"5056";"2518";"38";"11";"2469";"591";"66";"320";"133";"154";"149";"760";"23";"65";"97";"111"
"167008";"167008";"26";"4";"2";"3412";"1730";"38";"1";"1691";"352";"33";"135";"79";"160";"54";"662";"13";"32";"122";"49"
"169001";"169001";"23";"4";"2";"3043";"1436";"19";"6";"1411";"339";"38";"196";"52";"85";"70";"475";"7";"48";"49";"52"
"169002";"169002";"23";"4";"2";"3669";"1910";"44";"6";"1860";"431";"43";"360";"75";"67";"139";"486";"12";"95";"63";"89"
"169003";"169003";"23";"4";"2";"2554";"1403";"30";"2";"1371";"207";"41";"362";"44";"80";"88";"366";"12";"69";"47";"55"
"169004";"169004";"23";"4";"2";"2461";"1256";"20";"0";"1236";"243";"42";"257";"44";"66";"91";"302";"13";"92";"40";"46"
"169006";"169006";"23";"4";"2";"2874";"1238";"28";"2";"1208";"248";"26";"138";"62";"94";"80";"409";"11";"48";"33";"59"
"169007";"169007";"23";"4";"2";"3610";"1738";"26";"6";"1706";"388";"55";"233";"87";"106";"79";"558";"18";"54";"66";"62"
"169010";"169010";"23";"4";"2";"1300";"562";"20";"1";"541";"121";"15";"100";"27";"26";"39";"151";"1";"23";"15";"23"
